,variance
GRIK2,0.0552485850816517
PRKAR2B,0.03915377889797783
PLIN1,0.03795825913175268
PENK,0.036738357056016836
APOE,0.03673545228911426
AOC3,0.03597997476770078
GPD1,0.035629360355408146
IGFBP2,0.03373792923174681
ITGA7,0.031873040153086084
CITED1,0.030442923547833678
CLMN,0.030322781716935258
PRKG1,0.030194730676400505
PPP1R1B,0.030189917838321038
PLIN4,0.030177774399314163
LIPE,0.02999206016906556
PPP1R1A,0.02923943534887227
GREM1,0.028842978527383826
CYP1B1,0.02875794296846828
RBP4,0.02832715182016384
LGALS12,0.028032722063102988
PLA2G2A,0.0278717291751602
ADIPOQ,0.027819238652992656
ATP1A2,0.02733021097609447
PRG4,0.02703338333045264
SERPINE1,0.026886836667177047
MEDAG,0.02670909561369112
ITGBL1,0.02579138027466422
UCP2,0.025617979794076783
AGT,0.025386398138838848
IGFBP6,0.024908925136440715
MCAM,0.024820786483267028
ACSL5,0.02480763621643851
GPC4,0.02479096668714358
MASP1,0.024744935245094937
CNTN3,0.024717119254134556
PTGIS,0.024515129829526326
ADIRF,0.0243678736627915
MLXIPL,0.024302360905856187
SVEP1,0.023957075082454756
EFEMP1,0.023717699544592456
NCAM2,0.023512188424214077
EMP1,0.02339947742537631
MESP1,0.023101186764953173
ADH1B,0.022954166943083713
PTPRF,0.02292383843901537
PDE1C,0.02279498626289647
SESN3,0.022784244985498543
COL4A1,0.022651569067348033
HK2,0.022596694802546544
CEBPA,0.022298216486664264
PRKAG2-AS1,0.022088706856161575
NEFM,0.022087471764087166
ADIPOQ-AS1,0.02176687311251353
ACVR1C,0.02165470350728059
AR,0.021205916592235075
C1QTNF1,0.021168746530928595
PECR,0.021148963277972162
AK4,0.02112574199822884
ACSF2,0.02095852690797085
DUSP4,0.020908003062599538
CHI3L2,0.0208813467746864
PDE3B,0.020768090675355802
PRRX2,0.02066627252213278
TENM4,0.02066257355343523
FAM43A,0.02066136847053532
PPP2R1B,0.020595069166336827
DPT,0.02049540145011047
LMOD1,0.020481457078767702
NR1H3,0.020466055245616416
COL4A2,0.02045135403340409
TCF21,0.020175043400878084
CHRDL1,0.02008692357273106
TCEAL7,0.019878618491653198
PTGFR,0.019862320412324944
THRSP,0.019663276127059162
PRXL2A,0.019551919278363597
NOVA1,0.019462819251213376
PAMR1,0.019386350460130222
PLCL1,0.019343932385220305
IGFBP3,0.019070242994423364
RDH5,0.018971200988803283
MYADM,0.01891471583958162
TNC,0.018670934659248507
AQP3,0.018652324192512035
HMGCS1,0.018459432812137577
TGFBI,0.018457520531165804
HMCN1,0.018434268534310044
CALCRL,0.01842067760778037
FOXP2,0.017943701850361583
ERV3-1,0.01792935892812667
CKB,0.017889029682372805
ABI3BP,0.017817468347503734
RNF112,0.017798772572978263
THBS2,0.01773085542634416
KCNK2,0.017694237484310135
SEMA3G,0.01760681333724719
BDKRB2,0.01760157980553706
AQP7,0.017528587274467145
DTNA,0.01748774047112692
CDH11,0.017465291396290224
SLC40A1,0.017436640797142886
HLA-DMA,0.017355073664285087
LDLR,0.017347155675746965
LOX,0.017311004778330134
STX11,0.017100361571984454
ELN,0.017076107478138317
ADAMTS1,0.01705113531714724
CCDC85A,0.017037586543946954
MRGPRF,0.017006477331115863
JDP2,0.016990558644607183
SNAP25,0.01694064435092917
PTGS1,0.016931614309925548
NPR3,0.016859900933372
FAH,0.016852374089775125
BTG2,0.016762782585168313
SLC38A1,0.0167139311324896
CRLF1,0.016664155668579515
GALNT5,0.016627686480778833
KANK1,0.016562121619371085
DSP,0.01653936008817118
FBN2,0.01652323391373352
GAS6,0.016510461486289735
HLA-B,0.01642023924071452
RAMP1,0.016326535777195422
STXBP6,0.01627050056026327
SCD,0.016250006221148184
IFITM2,0.016158979030968166
CREB3L1,0.01610960767881934
CAMK1,0.01608550945638586
RETSAT,0.016084762778061694
IL17RE,0.016071599366526374
ABCA9,0.01605438191410085
C14orf180,0.016038725941338896
KAZN,0.015980769260649258
HSPB7,0.01597358017290798
MSI2,0.015928330289077974
CTSK,0.015880196191777284
ALDH2,0.01581243621589658
NRN1,0.01580832105444197
SLC6A15,0.015720500616859704
STC2,0.015650182854924
KCNB1,0.015638272562414398
CACNA1A,0.015584674671492634
OSR2,0.015479364521861189
SORBS2,0.015467249049756545
FAR2,0.015460932341364458
MFAP2,0.015426582720679908
SLC7A6,0.015418642009401925
CILP,0.01540823914839526
SOX5,0.015394321261596632
ABCA1,0.015372463504563116
CRISPLD2,0.015367785257439875
NFASC,0.015355187004847965
LSAMP,0.015348602159763186
SYT1,0.015341574780383303
COBLL1,0.015300051864167726
PDE1A,0.01528920123424028
RETREG1,0.015217229633491855
